C	Cn	DOID:0060041	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:1059	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:10652	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:10763	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:12849	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:12858	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:14330	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:1826	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:3312	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:5419	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:9255	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	
11	46	26	1	0.962188	1.04178	[0.14,7.86]	0.750286	1	0.1		0.378945	1		44	1	1.62832	0.596382	[0.08,4.43]	0.508568	1	0.1		0.323896	1		29	0	1.07321	0	[0.00,0.00]	1	1	0.1		1	1		13	1	0.481094	2.19444	[0.28,17.25]	0.308338	1	0.1		0.919343	1		26	1	0.962188	1.04178	[0.14,7.86]	0.750286	1	0.1		0.378945	1		2	0	0.0740145	0	[0.00,0.00]	1	1	0.1		1	1		21	1	0.777152	1.30778	[0.17,9.96]	0.369345	1	0.1		0.819365	1		38	1	1.40628	0.696697	[0.09,5.19]	0.585024	1	0.1		0.351658	1		44	1	1.62832	0.596382	[0.08,4.43]	0.508568	1	0.1		0.323896	1		103	4	3.81175	1.05628	[0.37,3.01]	0.456526	1	0.1		0.419254	1		11	2	0.40708	6	[1.26,28.59]	0.0532324	1	0.1		0.993641	1		
12	20	26	0	0.418343	0	[0.00,0.00]	1	1	0.1		1	1		44	0	0.707965	0	[0.00,0.00]	1	1	0.1		1	1		29	0	0.466613	0	[0.00,0.00]	1	1	0.1		1	1		13	2	0.209171	12.2424	[2.53,59.25]	0.0163381	1	0.1		0.999079	1		26	0	0.418343	0	[0.00,0.00]	1	1	0.1		1	1		2	0	0.0321802	0	[0.00,0.00]	1	1	0.1		1	1		21	1	0.337892	3.16579	[0.40,24.81]	0.247647	1	0.1		0.956977	1		38	0	0.611424	0	[0.00,0.00]	1	1	0.1		1	1		44	0	0.707965	0	[0.00,0.00]	1	1	0.1		1	1		103	0	1.65728	0	[0.00,0.00]	1	1	0.1		1	1		11	0	0.176991	0	[0.00,0.00]	1	1	0.1		1	1		
13	23	26	0	0.481094	0	[0.00,0.00]	1	1	0.1		1	1		44	0	0.814159	0	[0.00,0.00]	1	1	0.1		1	1		29	0	0.536605	0	[0.00,0.00]	1	1	0.1		1	1		13	0	0.240547	0	[0.00,0.00]	1	1	0.1		1	1		26	0	0.481094	0	[0.00,0.00]	1	1	0.1		1	1		2	0	0.0370072	0	[0.00,0.00]	1	1	0.1		1	1		21	0	0.388576	0	[0.00,0.00]	1	1	0.1		1	1		38	0	0.703138	0	[0.00,0.00]	1	1	0.1		1	1		44	0	0.814159	0	[0.00,0.00]	1	1	0.1		1	1		103	0	1.90587	0	[0.00,0.00]	1	1	0.1		1	1		11	1	0.20354	5.5	[0.67,44.85]	0.170117	1	0.1		0.983717	1		
14	31	26	1	0.648431	1.58267	[0.21,12.07]	0.34975	1	0.1		0.864829	1		44	2	1.09735	1.92118	[0.44,8.32]	0.207539	1	0.1		0.906652	1		29	0	0.72325	0	[0.00,0.00]	1	1	0.1		1	1		13	0	0.324216	0	[0.00,0.00]	1	1	0.1		1	1		26	1	0.648431	1.58267	[0.21,12.07]	0.34975	1	0.1		0.864829	1		2	0	0.0498793	0	[0.00,0.00]	1	1	0.1		1	1		21	0	0.523733	0	[0.00,0.00]	1	1	0.1		1	1		38	1	0.947707	1.05856	[0.14,7.97]	0.755731	1	0.1		0.378347	1		44	1	1.09735	0.906202	[0.12,6.80]	0.699112	1	0.1		0.376466	1		103	0	2.56879	0	[0.00,0.00]	1	1	0.1		1	1		11	0	0.274336	0	[0.00,0.00]	1	1	0.1		1	1		
15	30	26	0	0.627514	0	[0.00,0.00]	1	1	0.1		1	1		44	0	1.06195	0	[0.00,0.00]	1	1	0.1		1	1		29	3	0.69992	5.07265	[1.45,17.79]	0.0260573	1	0.1		0.995692	1		13	0	0.313757	0	[0.00,0.00]	1	1	0.1		1	1		26	0	0.627514	0	[0.00,0.00]	1	1	0.1		1	1		2	0	0.0482703	0	[0.00,0.00]	1	1	0.1		1	1		21	3	0.506838	7.37654	[2.05,26.54]	0.0113466	1	0.1		0.998757	1		38	2	0.917136	2.33532	[0.54,10.18]	0.172146	1	0.1		0.939397	1		44	0	1.06195	0	[0.00,0.00]	1	1	0.1		1	1		103	1	2.48592	0.375592	[0.05,2.79]	0.27333	1	0.1		0.201045	1		11	0	0.265487	0	[0.00,0.00]	1	1	0.1		1	1		
16	33	26	1	0.690265	1.48125	[0.19,11.27]	0.357107	1	0.1		0.850315	1		44	1	1.16814	0.84811	[0.11,6.35]	0.672447	1	0.1		0.372811	1		29	1	0.769912	1.3192	[0.17,10.00]	0.367687	1	0.1		0.82182	1		13	0	0.345133	0	[0.00,0.00]	1	1	0.1		1	1		26	1	0.690265	1.48125	[0.19,11.27]	0.357107	1	0.1		0.850315	1		2	0	0.0530973	0	[0.00,0.00]	1	1	0.1		1	1		21	0	0.557522	0	[0.00,0.00]	1	1	0.1		1	1		38	0	1.00885	0	[0.00,0.00]	1	1	0.1		1	1		44	1	1.16814	0.84811	[0.11,6.35]	0.672447	1	0.1		0.372811	1		103	2	2.73451	0.7084	[0.17,3.00]	0.475256	1	0.1		0.249997	1		11	0	0.292035	0	[0.00,0.00]	1	1	0.1		1	1		
17	22	26	0	0.460177	0	[0.00,0.00]	1	1	0.1		1	1		44	0	0.778761	0	[0.00,0.00]	1	1	0.1		1	1		29	0	0.513274	0	[0.00,0.00]	1	1	0.1		1	1		13	0	0.230088	0	[0.00,0.00]	1	1	0.1		1	1		26	0	0.460177	0	[0.00,0.00]	1	1	0.1		1	1		2	0	0.0353982	0	[0.00,0.00]	1	1	0.1		1	1		21	0	0.371681	0	[0.00,0.00]	1	1	0.1		1	1		38	0	0.672566	0	[0.00,0.00]	1	1	0.1		1	1		44	0	0.778761	0	[0.00,0.00]	1	1	0.1		1	1		103	0	1.82301	0	[0.00,0.00]	1	1	0.1		1	1		11	0	0.19469	0	[0.00,0.00]	1	1	0.1		1	1		
18	47	26	1	0.983105	1.01826	[0.14,7.68]	0.742372	1	0.1		0.379097	1		44	2	1.66372	1.22116	[0.29,5.20]	0.451314	1	0.1		0.59248	1		29	0	1.09654	0	[0.00,0.00]	1	1	0.1		1	1		13	0	0.491553	0	[0.00,0.00]	1	1	0.1		1	1		26	1	0.983105	1.01826	[0.14,7.68]	0.742372	1	0.1		0.379097	1		2	0	0.0756235	0	[0.00,0.00]	1	1	0.1		1	1		21	0	0.794047	0	[0.00,0.00]	1	1	0.1		1	1		38	3	1.43685	2.26169	[0.67,7.64]	0.118811	1	0.1		0.94841	1		44	1	1.66372	0.582912	[0.08,4.33]	0.496932	1	0.1		0.319049	1		103	3	3.89461	0.747273	[0.23,2.45]	0.443265	1	0.1		0.207385	1		11	0	0.415929	0	[0.00,0.00]	1	1	0.1		1	1		
19	21	26	0	0.43926	0	[0.00,0.00]	1	1	0.1		1	1		44	1	0.743363	1.37093	[0.18,10.45]	0.36538	1	0.1		0.831594	1		29	0	0.489944	0	[0.00,0.00]	1	1	0.1		1	1		13	0	0.21963	0	[0.00,0.00]	1	1	0.1		1	1		26	0	0.43926	0	[0.00,0.00]	1	1	0.1		1	1		2	0	0.0337892	0	[0.00,0.00]	1	1	0.1		1	1		21	0	0.354787	0	[0.00,0.00]	1	1	0.1		1	1		38	1	0.641995	1.60135	[0.21,12.25]	0.348963	1	0.1		0.867159	1		44	1	0.743363	1.37093	[0.18,10.45]	0.36538	1	0.1		0.831594	1		103	1	1.74014	0.54902	[0.07,4.13]	0.469304	1	0.1		0.309201	1		11	1	0.185841	6.06	[0.74,49.62]	0.157899	1	0.1		0.986353	1		
20	16	26	2	0.334674	7.16071	[1.54,33.26]	0.0383824	1	0.1		0.996198	1		44	0	0.566372	0	[0.00,0.00]	1	1	0.1		1	1		29	0	0.37329	0	[0.00,0.00]	1	1	0.1		1	1		13	0	0.167337	0	[0.00,0.00]	1	1	0.1		1	1		26	2	0.334674	7.16071	[1.54,33.26]	0.0383824	1	0.1		0.996198	1		2	0	0.0257442	0	[0.00,0.00]	1	1	0.1		1	1		21	1	0.270314	4.02333	[0.51,31.95]	0.211596	1	0.1		0.971702	1		38	0	0.489139	0	[0.00,0.00]	1	1	0.1		1	1		44	4	0.566372	9.89167	[3.06,32.02]	0.0016805	1	0.1		0.999856	1		103	4	1.32582	3.79798	[1.20,12.00]	0.0297868	1	0.1		0.9926	1		11	1	0.141593	8.11333	[0.98,67.44]	0.125337	1	0.1		0.992011	1		
21	22	26	0	0.460177	0	[0.00,0.00]	1	1	0.1		1	1		44	0	0.778761	0	[0.00,0.00]	1	1	0.1		1	1		29	1	0.513274	2.02891	[0.26,15.62]	0.31672	1	0.1		0.908957	1		13	0	0.230088	0	[0.00,0.00]	1	1	0.1		1	1		26	0	0.460177	0	[0.00,0.00]	1	1	0.1		1	1		2	0	0.0353982	0	[0.00,0.00]	1	1	0.1		1	1		21	0	0.371681	0	[0.00,0.00]	1	1	0.1		1	1		38	0	0.672566	0	[0.00,0.00]	1	1	0.1		1	1		44	1	0.778761	1.30454	[0.17,9.92]	0.369309	1	0.1		0.818737	1		103	2	1.82301	1.10891	[0.26,4.81]	0.430507	1	0.1		0.580784	1		11	1	0.19469	5.76667	[0.71,47.11]	0.164064	1	0.1		0.985061	1		
22	30	26	0	0.627514	0	[0.00,0.00]	1	1	0.1		1	1		44	0	1.06195	0	[0.00,0.00]	1	1	0.1		1	1		29	1	0.69992	1.45936	[0.19,11.09]	0.35854	1	0.1		0.846897	1		13	0	0.313757	0	[0.00,0.00]	1	1	0.1		1	1		26	0	0.627514	0	[0.00,0.00]	1	1	0.1		1	1		2	0	0.0482703	0	[0.00,0.00]	1	1	0.1		1	1		21	1	0.506838	2.0569	[0.27,15.85]	0.31481	1	0.1		0.910949	1		38	0	0.917136	0	[0.00,0.00]	1	1	0.1		1	1		44	1	1.06195	0.938252	[0.12,7.05]	0.712502	1	0.1		0.377712	1		103	3	2.48592	1.23667	[0.37,4.15]	0.499804	1	0.1		0.493871	1		11	0	0.265487	0	[0.00,0.00]	1	1	0.1		1	1		
23	27	26	0	0.564763	0	[0.00,0.00]	1	1	0.1		1	1		44	0	0.955752	0	[0.00,0.00]	1	1	0.1		1	1		29	1	0.629928	1.63187	[0.21,12.45]	0.346064	1	0.1		0.871128	1		13	0	0.282381	0	[0.00,0.00]	1	1	0.1		1	1		26	0	0.564763	0	[0.00,0.00]	1	1	0.1		1	1		2	0	0.0434433	0	[0.00,0.00]	1	1	0.1		1	1		21	0	0.456154	0	[0.00,0.00]	1	1	0.1		1	1		38	0	0.825422	0	[0.00,0.00]	1	1	0.1		1	1		44	1	0.955752	1.04919	[0.14,7.91]	0.752712	1	0.1		0.378747	1		103	0	2.23733	0	[0.00,0.00]	1	1	0.1		1	1		11	0	0.238938	0	[0.00,0.00]	1	1	0.1		1	1		
24	56	26	0	1.17136	0	[0.00,0.00]	1	1	0.1		1	1		44	5	1.9823	2.88587	[1.09,7.63]	0.0319346	1	0.1		0.988101	1		29	0	1.30652	0	[0.00,0.00]	1	1	0.1		1	1		13	0	0.58568	0	[0.00,0.00]	1	1	0.1		1	1		26	0	1.17136	0	[0.00,0.00]	1	1	0.1		1	1		2	0	0.0901046	0	[0.00,0.00]	1	1	0.1		1	1		21	1	0.946098	1.06091	[0.14,8.05]	0.756435	1	0.1		0.379671	1		38	2	1.71199	1.18416	[0.28,5.05]	0.444945	1	0.1		0.588505	1		44	0	1.9823	0	[0.00,0.00]	1	1	0.1		1	1		103	6	4.64039	1.34845	[0.56,3.22]	0.282435	1	0.1		0.684656	1		11	1	0.495575	2.14	[0.27,17.02]	0.314534	1	0.1		0.915519	1		
25	23	26	0	0.481094	0	[0.00,0.00]	1	1	0.1		1	1		44	1	0.814159	1.24419	[0.16,9.45]	0.372499	1	0.1		0.805731	1		29	0	0.536605	0	[0.00,0.00]	1	1	0.1		1	1		13	0	0.240547	0	[0.00,0.00]	1	1	0.1		1	1		26	0	0.481094	0	[0.00,0.00]	1	1	0.1		1	1		2	0	0.0370072	0	[0.00,0.00]	1	1	0.1		1	1		21	0	0.388576	0	[0.00,0.00]	1	1	0.1		1	1		38	0	0.703138	0	[0.00,0.00]	1	1	0.1		1	1		44	1	0.814159	1.24419	[0.16,9.45]	0.372499	1	0.1		0.805731	1		103	4	1.90587	2.38384	[0.80,7.14]	0.0803043	1	0.1		0.964256	1		11	0	0.20354	0	[0.00,0.00]	1	1	0.1		1	1		
26	24	26	1	0.502011	2.07652	[0.27,15.99]	0.313156	1	0.1		0.912367	1		44	1	0.849558	1.18908	[0.16,9.01]	0.374995	1	0.1		0.792602	1		29	1	0.559936	1.84938	[0.24,14.18]	0.329842	1	0.1		0.894269	1		13	1	0.251006	4.37319	[0.55,35.05]	0.200369	1	0.1		0.975515	1		26	1	0.502011	2.07652	[0.27,15.99]	0.313156	1	0.1		0.912367	1		2	0	0.0386163	0	[0.00,0.00]	1	1	0.1		1	1		21	0	0.405471	0	[0.00,0.00]	1	1	0.1		1	1		38	0	0.733709	0	[0.00,0.00]	1	1	0.1		1	1		44	1	0.849558	1.18908	[0.16,9.01]	0.374995	1	0.1		0.792602	1		103	3	1.98874	1.59857	[0.47,5.45]	0.311805	1	0.1		0.746286	1		11	0	0.212389	0	[0.00,0.00]	1	1	0.1		1	1		
27	49	26	1	1.02494	0.974167	[0.13,7.34]	0.726517	1	0.1		0.378872	1		44	2	1.73451	1.16717	[0.27,4.97]	0.441958	1	0.1		0.586055	1		29	4	1.1432	4.15644	[1.39,12.45]	0.0199755	1	0.1		0.995504	1		13	1	0.51247	2.05208	[0.26,16.11]	0.31866	1	0.1		0.909957	1		26	1	1.02494	0.974167	[0.13,7.34]	0.726517	1	0.1		0.378872	1		2	1	0.0788415	24.8542	[1.53,403.37]	0.0757945	1	0.1		0.998476	1		21	1	0.827836	1.22292	[0.16,9.30]	0.374024	1	0.1		0.800752	1		38	1	1.49799	0.651464	[0.09,4.85]	0.552713	1	0.1		0.340891	1		44	2	1.73451	1.16717	[0.27,4.97]	0.441958	1	0.1		0.586055	1		103	3	4.06034	0.713478	[0.22,2.34]	0.408962	1	0.1		0.197865	1		11	0	0.433628	0	[0.00,0.00]	1	1	0.1		1	1		
28	37	26	2	0.773934	2.81429	[0.64,12.38]	0.140206	1	0.1		0.960596	1		44	3	1.30973	2.50717	[0.74,8.50]	0.101134	1	0.1		0.961518	1		29	0	0.863234	0	[0.00,0.00]	1	1	0.1		1	1		13	0	0.386967	0	[0.00,0.00]	1	1	0.1		1	1		26	2	0.773934	2.81429	[0.64,12.38]	0.140206	1	0.1		0.960596	1		2	0	0.0595334	0	[0.00,0.00]	1	1	0.1		1	1		21	1	0.625101	1.64722	[0.22,12.61]	0.345509	1	0.1		0.872889	1		38	3	1.13113	2.9521	[0.87,10.07]	0.0765162	1	0.1		0.97623	1		44	4	1.30973	3.53333	[1.19,10.45]	0.0302275	1	0.1		0.991746	1		103	5	3.06597	1.76658	[0.67,4.64]	0.146075	1	0.1		0.882481	1		11	0	0.327434	0	[0.00,0.00]	1	1	0.1		1	1		
29	35	26	0	0.7321	0	[0.00,0.00]	1	1	0.1		1	1		44	0	1.23894	0	[0.00,0.00]	1	1	0.1		1	1		29	0	0.816573	0	[0.00,0.00]	1	1	0.1		1	1		13	0	0.36605	0	[0.00,0.00]	1	1	0.1		1	1		26	0	0.7321	0	[0.00,0.00]	1	1	0.1		1	1		2	0	0.0563154	0	[0.00,0.00]	1	1	0.1		1	1		21	0	0.591311	0	[0.00,0.00]	1	1	0.1		1	1		38	0	1.06999	0	[0.00,0.00]	1	1	0.1		1	1		44	2	1.23894	1.68254	[0.39,7.25]	0.230579	1	0.1		0.876601	1		103	1	2.90024	0.318916	[0.04,2.35]	0.197417	1	0.1		0.151069	1		11	0	0.309735	0	[0.00,0.00]	1	1	0.1		1	1		
